frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
90,2313.0,[994.0955989252561 1348.3258262114832 1686.585026040702 1885.3351982397362],[1237.71435546875 1711.538818359375 1433.2354736328125 1787.0179443359375],0.4351707100868225,GX15OGJ,0.44769248618168656
91,2313.0,[992.5195427637777 1353.4856880635643 1686.1392888033906 1892.9869922621742],[1243.404541015625 1708.5689697265625 1433.0457763671875 1786.34423828125],0.3224318027496338,GX15OGJ,0.4644604472691913
93,2313.0,[978.8886162940588 1366.1687158043956 1685.340963628758 1907.188113801772],[1225.885986328125 1687.1588134765625 1428.02490234375 1789.4150390625],0.2835233509540558,GX15OGJ,0.4559394229707728
94,2313.0,[976.5154137520652 1367.58570389872 1686.880968797046 1910.1240893715153],[1223.8685302734375 1699.6865234375 1425.6732177734375 1777.0482177734375],0.27011531591415405,UNKNOWN,0
94,2308.0,[2058.7027672566014 1079.5224465719327 2542.85528226614 1505.2213434333441],[2135.75146484375 1382.35498046875 2340.74462890625 1440.616943359375],0.2915511727333069,UNKNOWN,0
95,2308.0,[2057.6304741493623 1084.2373199972974 2543.5014920110734 1510.4119445648319],[2173.65673828125 1368.5860595703125 2382.362060546875 1429.015380859375],0.47334885597229004,AF05JEO,0.33134911640078857
95,2313.0,[971.6076198780688 1371.6519421541634 1684.356144514099 1918.6852475165365],[1226.433837890625 1754.77490234375 1398.240234375 1818.5682373046875],0.307229220867157,GX15OGJ,0.3005901134582622
96,2308.0,[2058.8355519555803 1086.3511019719112 2546.7918389212023 1512.5815195726395],[2195.543212890625 1368.188232421875 2387.58251953125 1423.9683837890625],0.3298214077949524,AP05JEO,0.24909614237778444
97,2313.0,[964.6919367100561 1383.0226188089403 1681.7601732135952 1936.4498519554356],[1212.5802001953125 1755.856689453125 1375.4237060546875 1809.8682861328125],0.4868931472301483,UNKNOWN,0
97,2308.0,[2058.0827779533993 1089.030325168523 2547.756929692672 1516.268294963613],[2178.655029296875 1384.0335693359375 2377.46533203125 1435.281982421875],0.2502036392688751,UNKNOWN,0
98,2313.0,[961.9116429201938 1391.2403555349697 1681.3853637449486 1946.48673544011],[1220.3253173828125 1769.0302734375 1400.4356689453125 1831.8956298828125],0.46296605467796326,GX15OCJ,0.28209538322682687
98,2340.0,[2225.340739805028 1428.8879531621703 2851.143647099367 1942.8907698479072],[2452.005859375 1753.446044921875 2615.755615234375 1841.44677734375],0.3316710293292999,UNKNOWN,0
99,2308.0,[2055.0568106074343 1092.0813026533447 2550.2040771581433 1523.9326234905716],[2205.50537109375 1385.998291015625 2402.4189453125 1436.2493896484375],0.3058357834815979,UNKNOWN,0
99,2313.0,[957.028080800764 1398.9522540022717 1679.6514800565203 1957.646814987747],[1216.2642822265625 1760.3695068359375 1375.6353759765625 1828.912353515625],0.267437219619751,UNKNOWN,0
100,2313.0,[955.2427101297736 1406.4379703581103 1677.212824597194 1964.1379424389202],[1225.16943359375 1789.2467041015625 1405.4443359375 1859.7308349609375],0.26555371284484863,GX15OGJ,0.40786186974747884
100,2308.0,[2053.3588997504025 1093.3650433995988 2550.71117923087 1528.5303806301597],[2227.701416015625 1386.572509765625 2408.41796875 1439.131103515625],0.2770235240459442,AF05JEO,0.26215280374281086
